longitude,latitude
77.07382,8.47347
75.60673,11.58312
72.84202,19.00541
75.79947,11.50031
76.81799,8.72388
76.58439,9.3882
75.42672,11.8333
75.42844,11.82653
76.0155,11.01605
75.96549,10.92011
77.06978,8.465
76.76272,8.74648
75.80868,11.35169
76.79127,8.76291
76.01836,11.00558
76.36477,9.9796
75.37045,11.87734
75.64366,11.4829
74.933227,13.288638
76.360687,10.778376
75.19068,12.06074
75.15723,12.21772
75.63958,11.48405
76.413694,9.663251
76.39359,10.8007
75.71884,11.52984
75.42931,11.82623
75.72223,11.53727
76.36373,10.4146
75.72156,11.53204
76.55454,9.51437
76.28347,10.06908
76.5893,9.38436
76.59263,9.3826
76.01751,11.00579
76.74031,8.83723
75.79454,11.52846
75.96391,11.09541
75.96785,11.08651
76.59151,9.38217
75.79172,11.5273
75.95475,11.093
75.49268,11.8047
76.54734,9.52582
75.40845,11.86434
75.95513,11.10328
75.55451,11.82823
76.00445,10.98009
76.58912,9.38442
75.83744,11.35004
75.7909,11.53445
75.98116,11.09091
75.9597,11.08373
77.530324,8.116241
75.95033,11.26214
77.530331,8.116266
75.79146,11.52961
75.96729,11.08693
75.59244,11.59675
76.72831,8.76986
76.31014,9.72823
75.49456,11.81299
76.3401,9.67414
76.78347,8.76017
75.64933,11.5241
75.64857,11.48425
75.5895,11.60524
75.59223,11.59616
72.86662,19.26335
76.71046,8.75716
76.00676,11.02159
75.64158,11.48717
76.3111,9.82345
76.40001,9.76446
75.47881,11.76671
76.29778,9.65237
76.53108,9.15058
76.77047,8.79739
76.58431,9.38509
76.32809,9.73463
76.58963,9.38583
72.84327,19.0806
75.98953,11.00649
75.44082,11.81137
76.41507,9.76371
75.59626,11.5988
75.5884,11.59894
76.59144,9.38642
76.30067,9.65534
75.43191,11.82141
72.84326,19.08048
77.54034,8.08902
76.32031,9.77044
76.68365,9.36096
72.86662,19.26326
76.5493,9.13123
75.45018,11.79736
76.23922,10.12172
72.84484,19.08034
75.59607,11.59899
76.93444,8.53221
75.4736,11.76854
76.27543,10.01534
76.59088,9.38582
77.263994,8.333956
75.41262,11.85774
76.77614,8.97852
75.37088,11.86622
72.85965,19.25028
75.46856,11.77862
75.63974,11.48498
75.36779,12.01919
76.66458,8.8576
76.78414,9.00531
75.4166,11.85809
75.45516,11.78871
76.67432,8.95789
75.3946,11.87122
76.77804,8.96819
72.85962,19.22449
75.45903,11.78017
75.46709,11.77279
76.76534,9.00903
75.46683,11.77392
75.44019,11.81218
75.36819,11.87672
75.6484,11.48063
76.75798,8.92299
76.62452,8.90187
75.36842,12.01428
75.41211,11.86069
75.41692,11.84592
75.4288,11.82663
75.40235,11.87049
75.4029,11.86944
75.49098,11.80111
72.86508,19.04358
75.3795,11.87426
75.43163,11.8219
75.66265,11.52929
75.43377,11.81922
75.36914,11.87732
75.37262,11.87557
75.42827,11.84861
75.37179,11.87197
75.45352,11.7937
75.67985,11.46841
75.08811,12.46247
75.37107,11.92205
76.27636,10.7389
75.03791,12.48965
75.05769,12.4016
75.37329,11.87551
75.49306,11.7508
75.41287,11.85825
76.32832,10.04717
75.47851,11.76677
76.28278,10.73146
75.36731,11.87739
75.40198,11.87033
75.39797,11.87106
76.61956,8.89031
75.68072,11.46602
75.4553,11.78975
76.77391,8.96006
